That has no sense!,¡Eso no tiene sentido!
That has nothing outstanding,No tiene nada del otro mundo
Nothing to tell,Nada que decir
Are you the fountain?,¿Eres tú la fuente?
Sure?,¿De verdad?
Are you kidding me?,¿Me estás troleando?
Why are you red?,¿Por qué estás roja?
Why are you not red yet?,¿Por qué aún no estás roja?
It looks like a potion with red liquid,Parece una poción con líquido rojo
Hey are you Milito the mighty?,¿Eres tú Milito el magnífico?
They say you are able to compile with your head,Dicen que compilas solo con la mente
